,,mcd,mcd,mcd,f0_rmse,f0_rmse,pesq,pesq,utmos,utmos
,,mean,std,count,mean,std,mean,std,mean,std
model_name,model_version,,,,,,,,,
Glow,030spk,9.898,0.5945,60,37.8639,14.2008,1.0534,0.0289,2.7287,0.3641
Glow,060spk,9.9993,0.8348,60,36.1818,15.4566,1.0518,0.0254,2.643,0.483
Glow,180spk,9.9752,0.6512,60,35.6851,13.0519,1.0564,0.0347,2.5917,0.3843
Tacotron2,030spk,9.576,0.612,60,31.2813,11.119,1.0774,0.0554,2.7142,0.3511
Tacotron2,060spk,9.5524,0.6572,60,30.491,10.4587,1.0651,0.0365,2.7652,0.3492
Tacotron2,180spk,9.6265,0.6608,60,31.059,10.1363,1.0818,0.1114,2.6965,0.4022
