"user_email_hash","model_name","phrase_id","speaker_id","rating"
"a4e44d9d","GT-000000","p046","VP131","5"
"a4e44d9d","Glow-060spk","p041","VP131","1"
"a4e44d9d","GT-000000","p025","IS038","4"
"a4e44d9d","Tacotron2-060spk","p009","AS009","3"
"a4e44d9d","Glow-060spk","p006","AS009","1"
"a4e44d9d","Glow-180spk","p028","IS038","1"
"a4e44d9d","GT-000000","p060","VP427","5"
"a4e44d9d","Glow-180spk","p042","VP131","1"
"a4e44d9d","Glow-030spk","p054","VP427","1"
"a4e44d9d","Tacotron2-060spk","p030","IS038","2"
"a4e44d9d","Tacotron2-030spk","p022","IS038","2"
"a4e44d9d","Tacotron2-030spk","p043","VP131","1"
"a4e44d9d","Tacotron2-030spk","p008","AS009","4"
"a4e44d9d","Tacotron2-180spk","p059","VP427","1"
"a4e44d9d","Glow-180spk","p049","VP131","1"
"a4e44d9d","Tacotron2-180spk","p052","VP427","1"
"a4e44d9d","Glow-180spk","p021","IS038","2"
"a4e44d9d","Tacotron2-180spk","p017","IS031","1"
"a4e44d9d","Tacotron2-030spk","p029","IS038","2"
"a4e44d9d","Tacotron2-060spk","p058","VP427","1"
"a4e44d9d","Glow-030spk","p047","VP131","1"
"a4e44d9d","Glow-060spk","p013","IS031","1"
"a4e44d9d","Glow-180spk","p056","VP427","1"
"a4e44d9d","GT-000000","p039","MS052","5"
"a4e44d9d","GT-000000","p053","VP427","5"
"a4e44d9d","Tacotron2-060spk","p016","IS031","2"
"a4e44d9d","Tacotron2-030spk","p001","AS009","3"
"a4e44d9d","Tacotron2-060spk","p051","VP427","3"
"a4e44d9d","Tacotron2-180spk","p010","AS009","1"
"a4e44d9d","Glow-060spk","p020","IS031","1"
"a4e44d9d","Glow-180spk","p014","IS031","1"
"a4e44d9d","Tacotron2-060spk","p002","AS009","3"
"a4e44d9d","GT-000000","p004","AS009","5"
"a4e44d9d","Glow-060spk","p027","IS038","2"
"a4e44d9d","Tacotron2-030spk","p015","IS031","1"
"a4e44d9d","GT-000000","p032","MS052","5"
"a4e44d9d","Glow-180spk","p007","AS009","1"
"bc8a0324","Tacotron2-180spk","p037","MS052","1"
"bc8a0324","Tacotron2-060spk","p015","IS031","3"
"bc8a0324","Glow-180spk","p013","IS031","2"
"bc8a0324","Tacotron2-180spk","p058","VP427","4"
"bc8a0324","Glow-030spk","p004","AS009","1"
"bc8a0324","Glow-060spk","p040","MS052","2"
"bc8a0324","Tacotron2-030spk","p028","IS038","5"
"bc8a0324","Tacotron2-030spk","p056","VP427","4"
"bc8a0324","Glow-060spk","p033","MS052","4"
"bc8a0324","Glow-030spk","p046","VP131","2"
"bc8a0324","Glow-180spk","p048","VP131","2"
"bc8a0324","Glow-060spk","p054","VP427","1"
"bc8a0324","Tacotron2-030spk","p035","MS052","4"
"bc8a0324","Glow-060spk","p026","IS038","5"
"bc8a0324","GT-000000","p052","VP427","5"
"bc8a0324","Glow-030spk","p032","MS052","2"
"bc8a0324","Tacotron2-180spk","p016","IS031","5"
"bc8a0324","Glow-030spk","p039","MS052","3"
"bc8a0324","Glow-180spk","p041","VP131","1"
"bc8a0324","Glow-030spk","p060","VP427","2"
"bc8a0324","GT-000000","p031","MS052","5"
"bc8a0324","Tacotron2-030spk","p021","IS038","4"
"bc8a0324","Glow-060spk","p047","VP131","3"
"bc8a0324","Glow-030spk","p018","IS031","2"
"bc8a0324","Tacotron2-060spk","p001","AS009","5"
"bc8a0324","Glow-180spk","p020","IS031","3"
"bc8a0324","Tacotron2-060spk","p022","IS038","5"
"bc8a0324","Glow-060spk","p019","IS031","4"
"bc8a0324","Tacotron2-180spk","p002","AS009","5"
"bc8a0324","Tacotron2-180spk","p030","IS038","4"
"bc8a0324","Tacotron2-180spk","p023","IS038","5"
"bc8a0324","Tacotron2-180spk","p051","VP427","2"
"bc8a0324","Glow-180spk","p027","IS038","3"
"bc8a0324","Tacotron2-060spk","p029","IS038","4"
"bc8a0324","Tacotron2-030spk","p007","AS009","5"
"bc8a0324","Glow-060spk","p005","AS009","1"
"bc8a0324","Tacotron2-180spk","p044","VP131","3"
"bc8a0324","Tacotron2-060spk","p036","MS052","2"
"bc8a0324","GT-000000","p045","VP131","5"
"bc8a0324","Glow-180spk","p055","VP427","1"
"bc8a0324","GT-000000","p059","VP427","5"
"bc8a0324","Glow-180spk","p034","MS052","2"
"bc8a0324","GT-000000","p010","AS009","5"
"bc8a0324","Tacotron2-060spk","p057","VP427","4"
"bc8a0324","Glow-060spk","p012","IS031","4"
"bc8a0324","Tacotron2-030spk","p049","VP131","4"
"bc8a0324","Tacotron2-030spk","p014","IS031","3"
"bc8a0324","Tacotron2-060spk","p043","VP131","3"
"bc8a0324","Tacotron2-060spk","p050","VP131","2"
"da209842","Tacotron2-030spk","p034","MS052","1"
"da209842","Tacotron2-060spk","p035","MS052","2"
"bc8a0324","Glow-030spk","p011","IS031","1"
"da209842","GT-000000","p051","VP427","5"
"bc8a0324","GT-000000","p017","IS031","5"
"da209842","Glow-060spk","p025","IS038","2"
"da209842","Tacotron2-060spk","p056","VP427","5"
"bc8a0324","Glow-030spk","p053","VP427","1"
"da209842","Glow-180spk","p047","VP131","1"
"bc8a0324","Tacotron2-030spk","p042","VP131","2"
"da209842","Glow-180spk","p040","MS052","2"
"da209842","Tacotron2-030spk","p048","VP131","3"
"da209842","GT-000000","p002","AS009","5"
"da209842","Tacotron2-060spk","p021","IS038","4"
"bc8a0324","GT-000000","p003","AS009","5"
"da209842","Tacotron2-180spk","p022","IS038","5"
"bc8a0324","Tacotron2-180spk","p009","AS009","5"
"da209842","Tacotron2-180spk","p057","VP427","4"
"da209842","Glow-180spk","p033","MS052","3"
"bc8a0324","GT-000000","p038","MS052","5"
"da209842","Tacotron2-030spk","p020","IS031","4"
